№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
1,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,543.0
2,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Костюшко,2,30.295701,59.849212,1997.0
3,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Кузнецовская,25,30.332577,59.87143199999999,1859.5
4,12-я линия В.О.,35,30.269990999999997,59.942195999999996,наб. реки Фонтанки,154,30.28255,59.915765,957.0
5,18-я линия В.О.,23,30.266856,59.936178000000005,Большой просп. ВО,85,30.250614000000002,59.930178000000005,366.25
6,18-я линия В.О.,23,30.266856,59.936178000000005,Будапештская,3,30.36382,59.873704000000004,2169.2
7,18-я линия В.О.,23,30.266856,59.936178000000005,Вавиловых,14,30.390563,60.024752,2351.875
8,18-я линия В.О.,23,30.266856,59.936178000000005,Динамо пр.,3,30.279864,59.972699,1111.0
9,18-я линия В.О.,23,30.266856,59.936178000000005,Загородный просп.,47,30.321195,59.921804,1154.4
10,18-я линия В.О.,23,30.266856,59.936178000000005,Костюшко,2,30.295701,59.849212,2020.625
11,18-я линия В.О.,23,30.266856,59.936178000000005,Кузнецовская,25,30.332577,59.87143199999999,1876.625
12,18-я линия В.О.,23,30.266856,59.936178000000005,Литейный просп.,56,30.349456,59.935069999999996,1078.4
13,18-я линия В.О.,23,30.266856,59.936178000000005,Луначарского пр.,47,30.360164,60.036281,2351.875
14,18-я линия В.О.,23,30.266856,59.936178000000005,Льва Толстого,6/8,30.321859999999997,59.965309,1076.25
15,18-я линия В.О.,23,30.266856,59.936178000000005,Мечникова пр.,27,30.410891999999997,59.986982999999995,1882.5
16,18-я линия В.О.,23,30.266856,59.936178000000005,Народная,21,30.468124,59.879137,2199.1666666666665
17,18-я линия В.О.,23,30.266856,59.936178000000005,Оптиков,54,30.199033,60.000713,2381.25
18,18-я линия В.О.,23,30.266856,59.936178000000005,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1759.5
19,18-я линия В.О.,23,30.266856,59.936178000000005,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3295.125
20,18-я линия В.О.,23,30.266856,59.936178000000005,Солидарности просп.,4,30.490114000000002,59.92828000000001,2273.125
21,18-я линия В.О.,23,30.266856,59.936178000000005,Учебный пер.,5,30.336763,60.037252,2260.25
22,18-я линия В.О.,23,30.266856,59.936178000000005,наб. реки Фонтанки,154,30.28255,59.915765,980.125
23,2-я Советская,17,30.368096,59.931647999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1313.4
