№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
1,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,491.2
2,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Костюшко,2,30.295701,59.849212,2189.8
3,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Кузнецовская,25,30.332577,59.87143199999999,2028.0
4,12-я линия В.О.,35,30.269990999999997,59.942195999999996,наб. реки Фонтанки,154,30.28255,59.915765,1116.0
5,18-я линия В.О.,23,30.266856,59.936178000000005,Большой просп. ВО,85,30.250614000000002,59.930178000000005,339.6666666666667
6,18-я линия В.О.,23,30.266856,59.936178000000005,Будапештская,3,30.36382,59.873704000000004,2338.6666666666665
7,18-я линия В.О.,23,30.266856,59.936178000000005,Вавиловых,14,30.390563,60.024752,2514.5555555555557
8,18-я линия В.О.,23,30.266856,59.936178000000005,Динамо пр.,3,30.279864,59.972699,1145.0
9,18-я линия В.О.,23,30.266856,59.936178000000005,Загородный просп.,47,30.321195,59.921804,1259.3333333333333
10,18-я линия В.О.,23,30.266856,59.936178000000005,Костюшко,2,30.295701,59.849212,2139.8888888888887
11,18-я линия В.О.,23,30.266856,59.936178000000005,Кузнецовская,25,30.332577,59.87143199999999,1982.2222222222222
12,18-я линия В.О.,23,30.266856,59.936178000000005,Литейный просп.,56,30.349456,59.935069999999996,1208.3333333333333
13,18-я линия В.О.,23,30.266856,59.936178000000005,Луначарского пр.,47,30.360164,60.036281,2506.3333333333335
14,18-я линия В.О.,23,30.266856,59.936178000000005,Льва Толстого,6/8,30.321859999999997,59.965309,1114.2222222222222
15,18-я линия В.О.,23,30.266856,59.936178000000005,Мечникова пр.,27,30.410891999999997,59.986982999999995,1955.111111111111
16,18-я линия В.О.,23,30.266856,59.936178000000005,Народная,21,30.468124,59.879137,2451.6666666666665
17,18-я линия В.О.,23,30.266856,59.936178000000005,Оптиков,54,30.199033,60.000713,2436.5555555555557
18,18-я линия В.О.,23,30.266856,59.936178000000005,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1829.3333333333333
19,18-я линия В.О.,23,30.266856,59.936178000000005,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3360.3333333333335
20,18-я линия В.О.,23,30.266856,59.936178000000005,Солидарности просп.,4,30.490114000000002,59.92828000000001,2340.3333333333335
21,18-я линия В.О.,23,30.266856,59.936178000000005,Учебный пер.,5,30.336763,60.037252,2403.8888888888887
22,18-я линия В.О.,23,30.266856,59.936178000000005,наб. реки Фонтанки,154,30.28255,59.915765,1065.888888888889
23,2-я Советская,17,30.368096,59.931647999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1498.875
24,2-я Советская,17,30.368096,59.931647999999996,Будапештская,3,30.36382,59.873704000000004,1524.1818181818182
25,2-я Советская,17,30.368096,59.931647999999996,Вавиловых,14,30.390563,60.024752,2095.090909090909
26,2-я Советская,17,30.368096,59.931647999999996,Динамо пр.,3,30.279864,59.972699,1700.8181818181818
27,2-я Советская,17,30.368096,59.931647999999996,Загородный просп.,47,30.321195,59.921804,763.0
28,2-я Советская,17,30.368096,59.931647999999996,Костюшко,2,30.295701,59.849212,1884.909090909091
29,2-я Советская,17,30.368096,59.931647999999996,Кузнецовская,25,30.332577,59.87143199999999,1293.3636363636363
30,2-я Советская,17,30.368096,59.931647999999996,Литейный просп.,56,30.349456,59.935069999999996,415.27272727272725
31,2-я Советская,17,30.368096,59.931647999999996,Луначарского пр.,47,30.360164,60.036281,2187.818181818182
32,2-я Советская,17,30.368096,59.931647999999996,Льва Толстого,6/8,30.321859999999997,59.965309,1290.7272727272727
33,2-я Советская,17,30.368096,59.931647999999996,Мечникова пр.,27,30.410891999999997,59.986982999999995,1308.1818181818182
34,2-я Советская,17,30.368096,59.931647999999996,Народная,21,30.468124,59.879137,1195.4545454545455
35,2-я Советская,17,30.368096,59.931647999999996,Оптиков,54,30.199033,60.000713,2041.7272727272727
36,2-я Советская,17,30.368096,59.931647999999996,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1180.8181818181818
37,2-я Советская,17,30.368096,59.931647999999996,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2957.0
38,2-я Советская,17,30.368096,59.931647999999996,Солидарности просп.,4,30.490114000000002,59.92828000000001,1262.090909090909
39,2-я Советская,17,30.368096,59.931647999999996,Учебный пер.,5,30.336763,60.037252,2334.0
40,2-я Советская,17,30.368096,59.931647999999996,наб. реки Фонтанки,154,30.28255,59.915765,1206.5454545454545
41,Авиаконструкторов пр.,49,30.223611,60.027898,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2490.818181818182
42,Авиаконструкторов пр.,49,30.223611,60.027898,Будапештская,3,30.36382,59.873704000000004,3355.909090909091
43,Авиаконструкторов пр.,49,30.223611,60.027898,Вавиловых,14,30.390563,60.024752,2197.2727272727275
44,Авиаконструкторов пр.,49,30.223611,60.027898,Динамо пр.,3,30.279864,59.972699,1847.4545454545455
45,Авиаконструкторов пр.,49,30.223611,60.027898,Загородный просп.,47,30.321195,59.921804,2258.181818181818
46,Авиаконструкторов пр.,49,30.223611,60.027898,Костюшко,2,30.295701,59.849212,3629.3636363636365
47,Авиаконструкторов пр.,49,30.223611,60.027898,Кузнецовская,25,30.332577,59.87143199999999,3124.5454545454545
