№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
1,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,506.85714285714283
2,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Будапештская,3,30.36382,59.873704000000004,2296.0
3,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Вавиловых,14,30.390563,60.024752,2440.0
4,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Динамо пр.,3,30.279864,59.972699,1062.0
5,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Загородный просп.,47,30.321195,59.921804,1227.0
6,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Костюшко,2,30.295701,59.849212,2385.8571428571427
7,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Кузнецовская,25,30.332577,59.87143199999999,2215.0
8,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Литейный просп.,56,30.349456,59.935069999999996,1107.0
9,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Луначарского пр.,47,30.360164,60.036281,2502.0
10,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Льва Толстого,6/8,30.321859999999997,59.965309,1086.0
11,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Мечникова пр.,27,30.410891999999997,59.986982999999995,1887.0
12,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Народная,21,30.468124,59.879137,2332.0
13,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Оптиков,54,30.199033,60.000713,2383.0
14,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1784.0
15,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3369.0
16,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Солидарности просп.,4,30.490114000000002,59.92828000000001,2356.0
17,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Учебный пер.,5,30.336763,60.037252,2372.0
18,12-я линия В.О.,35,30.269990999999997,59.942195999999996,наб. реки Фонтанки,154,30.28255,59.915765,1177.0
19,18-я линия В.О.,23,30.266856,59.936178000000005,Большой просп. ВО,85,30.250614000000002,59.930178000000005,445.05555555555554
20,18-я линия В.О.,23,30.266856,59.936178000000005,Будапештская,3,30.36382,59.873704000000004,2830.6111111111113
21,18-я линия В.О.,23,30.266856,59.936178000000005,Вавиловых,14,30.390563,60.024752,3134.0555555555557
22,18-я линия В.О.,23,30.266856,59.936178000000005,Динамо пр.,3,30.279864,59.972699,1363.6666666666667
23,18-я линия В.О.,23,30.266856,59.936178000000005,Загородный просп.,47,30.321195,59.921804,1677.6666666666667
24,18-я линия В.О.,23,30.266856,59.936178000000005,Костюшко,2,30.295701,59.849212,2652.777777777778
25,18-я линия В.О.,23,30.266856,59.936178000000005,Кузнецовская,25,30.332577,59.87143199999999,2500.5
26,18-я линия В.О.,23,30.266856,59.936178000000005,Литейный просп.,56,30.349456,59.935069999999996,1515.3333333333333
27,18-я линия В.О.,23,30.266856,59.936178000000005,Луначарского пр.,47,30.360164,60.036281,3184.0
28,18-я линия В.О.,23,30.266856,59.936178000000005,Льва Толстого,6/8,30.321859999999997,59.965309,1494.5
29,18-я линия В.О.,23,30.266856,59.936178000000005,Мечникова пр.,27,30.410891999999997,59.986982999999995,2454.0
30,18-я линия В.О.,23,30.266856,59.936178000000005,Народная,21,30.468124,59.879137,2954.6111111111113
31,18-я линия В.О.,23,30.266856,59.936178000000005,Оптиков,54,30.199033,60.000713,2796.8333333333335
32,18-я линия В.О.,23,30.266856,59.936178000000005,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2314.9444444444443
33,18-я линия В.О.,23,30.266856,59.936178000000005,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3763.5
34,18-я линия В.О.,23,30.266856,59.936178000000005,Солидарности просп.,4,30.490114000000002,59.92828000000001,3068.3333333333335
35,18-я линия В.О.,23,30.266856,59.936178000000005,Учебный пер.,5,30.336763,60.037252,3050.1111111111113
36,18-я линия В.О.,23,30.266856,59.936178000000005,наб. реки Фонтанки,154,30.28255,59.915765,1291.2222222222222
37,2-я Советская,17,30.368096,59.931647999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1640.5555555555557
38,2-я Советская,17,30.368096,59.931647999999996,Будапештская,3,30.36382,59.873704000000004,1637.1666666666667
39,2-я Советская,17,30.368096,59.931647999999996,Вавиловых,14,30.390563,60.024752,2463.5555555555557
40,2-я Советская,17,30.368096,59.931647999999996,Динамо пр.,3,30.279864,59.972699,1988.3333333333333
41,2-я Советская,17,30.368096,59.931647999999996,Загородный просп.,47,30.321195,59.921804,1115.4444444444443
42,2-я Советская,17,30.368096,59.931647999999996,Костюшко,2,30.295701,59.849212,2227.0
43,2-я Советская,17,30.368096,59.931647999999996,Кузнецовская,25,30.332577,59.87143199999999,1404.3333333333333
44,2-я Советская,17,30.368096,59.931647999999996,Литейный просп.,56,30.349456,59.935069999999996,550.4444444444445
45,2-я Советская,17,30.368096,59.931647999999996,Луначарского пр.,47,30.360164,60.036281,2597.1666666666665
46,2-я Советская,17,30.368096,59.931647999999996,Льва Толстого,6/8,30.321859999999997,59.965309,1534.1666666666667
47,2-я Советская,17,30.368096,59.931647999999996,Мечникова пр.,27,30.410891999999997,59.986982999999995,1587.9444444444443
48,2-я Советская,17,30.368096,59.931647999999996,Народная,21,30.468124,59.879137,1481.111111111111
49,2-я Советская,17,30.368096,59.931647999999996,Оптиков,54,30.199033,60.000713,2312.0555555555557
50,2-я Советская,17,30.368096,59.931647999999996,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1450.388888888889
51,2-я Советская,17,30.368096,59.931647999999996,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3282.5555555555557
52,2-я Советская,17,30.368096,59.931647999999996,Солидарности просп.,4,30.490114000000002,59.92828000000001,1416.388888888889
53,2-я Советская,17,30.368096,59.931647999999996,Учебный пер.,5,30.336763,60.037252,2841.1111111111113
54,2-я Советская,17,30.368096,59.931647999999996,наб. реки Фонтанки,154,30.28255,59.915765,1438.888888888889
55,Авиаконструкторов пр.,49,30.223611,60.027898,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2927.6111111111113
56,Авиаконструкторов пр.,49,30.223611,60.027898,Будапештская,3,30.36382,59.873704000000004,3949.277777777778
57,Авиаконструкторов пр.,49,30.223611,60.027898,Вавиловых,14,30.390563,60.024752,2340.722222222222
58,Авиаконструкторов пр.,49,30.223611,60.027898,Динамо пр.,3,30.279864,59.972699,2076.1111111111113
59,Авиаконструкторов пр.,49,30.223611,60.027898,Загородный просп.,47,30.321195,59.921804,2783.0555555555557
60,Авиаконструкторов пр.,49,30.223611,60.027898,Костюшко,2,30.295701,59.849212,4378.166666666667
61,Авиаконструкторов пр.,49,30.223611,60.027898,Кузнецовская,25,30.332577,59.87143199999999,3705.1111111111113
62,Авиаконструкторов пр.,49,30.223611,60.027898,Литейный просп.,56,30.349456,59.935069999999996,2302.5555555555557
63,Авиаконструкторов пр.,49,30.223611,60.027898,Луначарского пр.,47,30.360164,60.036281,2482.777777777778
