№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
1,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,574.4285714285714
2,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Костюшко,2,30.295701,59.849212,3304.5714285714284
3,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Кузнецовская,25,30.332577,59.87143199999999,2947.8571428571427
4,12-я линия В.О.,35,30.269990999999997,59.942195999999996,наб. реки Фонтанки,154,30.28255,59.915765,1809.857142857143
5,18-я линия В.О.,23,30.266856,59.936178000000005,Большой просп. ВО,85,30.250614000000002,59.930178000000005,514.5555555555555
6,18-я линия В.О.,23,30.266856,59.936178000000005,Будапештская,3,30.36382,59.873704000000004,4637.444444444444
7,18-я линия В.О.,23,30.266856,59.936178000000005,Вавиловых,14,30.390563,60.024752,4723.333333333333
8,18-я линия В.О.,23,30.266856,59.936178000000005,Динамо пр.,3,30.279864,59.972699,1601.8333333333333
9,18-я линия В.О.,23,30.266856,59.936178000000005,Загородный просп.,47,30.321195,59.921804,2831.0
10,18-я линия В.О.,23,30.266856,59.936178000000005,Костюшко,2,30.295701,59.849212,4206.555555555556
11,18-я линия В.О.,23,30.266856,59.936178000000005,Кузнецовская,25,30.332577,59.87143199999999,3933.9444444444443
12,18-я линия В.О.,23,30.266856,59.936178000000005,Литейный просп.,56,30.349456,59.935069999999996,2750.6666666666665
13,18-я линия В.О.,23,30.266856,59.936178000000005,Луначарского пр.,47,30.360164,60.036281,5047.277777777777
14,18-я линия В.О.,23,30.266856,59.936178000000005,Льва Толстого,6/8,30.321859999999997,59.965309,2092.1666666666665
15,18-я линия В.О.,23,30.266856,59.936178000000005,Мечникова пр.,27,30.410891999999997,59.986982999999995,3679.722222222222
16,18-я линия В.О.,23,30.266856,59.936178000000005,Народная,21,30.468124,59.879137,4707.555555555556
17,18-я линия В.О.,23,30.266856,59.936178000000005,Оптиков,54,30.199033,60.000713,4267.055555555556
18,18-я линия В.О.,23,30.266856,59.936178000000005,Пискаревский просп.,47,30.431328999999998,59.983422999999995,3508.777777777778
19,18-я линия В.О.,23,30.266856,59.936178000000005,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,5223.944444444444
20,18-я линия В.О.,23,30.266856,59.936178000000005,Солидарности просп.,4,30.490114000000002,59.92828000000001,4901.222222222223
21,18-я линия В.О.,23,30.266856,59.936178000000005,Учебный пер.,5,30.336763,60.037252,4906.611111111111
22,18-я линия В.О.,23,30.266856,59.936178000000005,наб. реки Фонтанки,154,30.28255,59.915765,2570.9444444444443
23,2-я Советская,17,30.368096,59.931647999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1965.388888888889
24,2-я Советская,17,30.368096,59.931647999999996,Будапештская,3,30.36382,59.873704000000004,2537.722222222222
25,2-я Советская,17,30.368096,59.931647999999996,Вавиловых,14,30.390563,60.024752,3528.6111111111113
26,2-я Советская,17,30.368096,59.931647999999996,Динамо пр.,3,30.279864,59.972699,2691.4444444444443
27,2-я Советская,17,30.368096,59.931647999999996,Загородный просп.,47,30.321195,59.921804,1614.7777777777778
28,2-я Советская,17,30.368096,59.931647999999996,Костюшко,2,30.295701,59.849212,3245.9444444444443
29,2-я Советская,17,30.368096,59.931647999999996,Кузнецовская,25,30.332577,59.87143199999999,2586.6666666666665
30,2-я Советская,17,30.368096,59.931647999999996,Литейный просп.,56,30.349456,59.935069999999996,809.9444444444445
31,2-я Советская,17,30.368096,59.931647999999996,Луначарского пр.,47,30.360164,60.036281,3652.6666666666665
32,2-я Советская,17,30.368096,59.931647999999996,Льва Толстого,6/8,30.321859999999997,59.965309,2285.277777777778
33,2-я Советская,17,30.368096,59.931647999999996,Мечникова пр.,27,30.410891999999997,59.986982999999995,2098.0
34,2-я Советская,17,30.368096,59.931647999999996,Народная,21,30.468124,59.879137,1812.111111111111
35,2-я Советская,17,30.368096,59.931647999999996,Оптиков,54,30.199033,60.000713,4320.833333333333
36,2-я Советская,17,30.368096,59.931647999999996,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1929.1666666666667
37,2-я Советская,17,30.368096,59.931647999999996,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,5264.5
38,2-я Советская,17,30.368096,59.931647999999996,Солидарности просп.,4,30.490114000000002,59.92828000000001,2174.9444444444443
39,2-я Советская,17,30.368096,59.931647999999996,Учебный пер.,5,30.336763,60.037252,5205.0
40,2-я Советская,17,30.368096,59.931647999999996,наб. реки Фонтанки,154,30.28255,59.915765,2199.277777777778
41,Авиаконструкторов пр.,49,30.223611,60.027898,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3091.9444444444443
42,Авиаконструкторов пр.,49,30.223611,60.027898,Будапештская,3,30.36382,59.873704000000004,5143.222222222223
43,Авиаконструкторов пр.,49,30.223611,60.027898,Вавиловых,14,30.390563,60.024752,2640.0555555555557
44,Авиаконструкторов пр.,49,30.223611,60.027898,Динамо пр.,3,30.279864,59.972699,2276.3333333333335
45,Авиаконструкторов пр.,49,30.223611,60.027898,Загородный просп.,47,30.321195,59.921804,3307.5555555555557
46,Авиаконструкторов пр.,49,30.223611,60.027898,Костюшко,2,30.295701,59.849212,5470.222222222223
