,Lon,Lat,Address
0,30.269991,59.942196,"12-я линия В.О., 35"
1,30.266856,59.936178,"18-я линия В.О., 23"
2,30.368096,59.931648,"2-я Советская, 17"
3,30.223611,60.027898,"Авиаконструкторов пр., 49"
4,30.289485,60.008878,"Аллея Поликарпова, 5"
5,30.473019,59.908922,"Антонова-Овсеенко, 21"
6,30.416749,59.962967,"Апрельская, 5"
7,30.328786,60.04866,"Асафьева, 12"
8,30.328786,60.04866,"Асафьева, 12к1"
9,30.273189,59.800005,Аэропорт Пулково-1
10,30.443114,59.920975,"Бадаева, 11"
11,30.305735,59.964503,"Бармалеева, 13"
12,30.349564,59.864548,"Бассейная, 83"
13,30.360092,59.868311,"Белградская, 10к1"
14,30.373711,59.869399,"Белы Куна, 2к1"
15,30.244263,60.003201,"Богатырский пр., 31"
16,30.2829,59.96553,"Большая Зеленина, 38"
17,30.41851,59.953196,"Большая Пороховская, 25"
18,30.341946,59.971582,"Большой Сампсониевский проспект, 51"
19,30.269129,59.845234,"Бульвар Новаторов, 46"
20,30.178058,59.833543,"Ветеранов пр., 117"
21,30.344749,59.910956,"Воронежская, 92"
22,30.317243,60.041876,"Выборгское шоссе, 7"
23,30.317782,60.042568,"Выборгское шоссе, 7к1"
24,30.312446,59.927527,"Гражданская, 16"
25,30.423603,60.040663,"Гражданский пр., 126"
26,30.398549,60.017513,"Гражданский пр., 88к3"
27,30.344336,59.930701,"Графский пер., 3"
28,30.274941,59.985161,"Дибуновская, 26"
29,30.385389,59.848547,"Димитрова, 16к1"
30,30.283475,59.937621,"Днепровский пер., 7"
31,30.477978,59.899401,"Евдокима Огнева, 14"
32,30.421016,59.895226,"Елизарова, 18"
33,30.310972,60.064075,"Жени Егоровой, 10"
34,30.26841,59.873058,"Зайцева, 15"
35,30.274303,59.879245,"Зайцева, 37"
36,30.405035,59.980429,"Замшина, 60"
37,30.47045,59.851602,"Запорожская, 17"
38,30.300758,59.953475,"Зверинская, 26"
39,29.760485,59.998049,"Зосимова (Кронштадт), 18"
40,30.345441,60.049208,"Ивана Фомина, 14к2"
41,30.345261,59.996681,"Институтский, 2"
42,30.380475,59.927121,"Исполкомская, 9"
43,30.241973,59.953732,"КИМа проспект, 28"
44,30.345683,59.98756,"Капитана Воронина, 8"
45,30.240814,59.935922,"Карташихина, 19"
46,30.508009,59.97753,"Ковалевская, 12к1"
47,30.453023,59.726106,Колпинское шоссе 40
48,30.484644,59.743023,Колпинское шоссе 40к1
49,30.258223,60.013105,"Комендантский пр., 17/9"
50,30.259256,60.01253,"Комендантский пр., 17к3"
51,30.271177,59.897776,"Косинова, 7"
52,30.359212,59.839913,"Космонавтов пр., 64"
53,30.311978,59.91323,"Красноармейская 5-я, 17"
54,30.261906,59.872864,"Краснопутиловская, 3"
55,30.311044,59.960782,"Кронверкская, 16"
56,30.298881,59.871811,"Кузнецовская, 4"
57,30.358565,60.007852,"Курчатова, 6"
58,30.231525,59.844877,"Лени Голикова, 25"
59,30.204477,59.856474,"Ленинский пр., 88"
60,30.490411,59.940163,"Ленская, 13"
61,30.140903,59.83101,"Летчика Пилютова, 46"
62,30.029099,59.851291,"Львовская (Стрельна), 19"
63,30.291515,59.917308,"Люблинский пер., 7"
64,30.395064,59.825199,"Малая Балканская, 38"
65,30.345234,59.921642,"Марата, 65"
66,30.178695,59.856302,"Маршала Захарова, 9"
67,30.242916,59.859185,"Маршала Казакова, 10к1"
