,Lon,Lat,Address
0,30.250614,59.930178,"Большой просп. ВО, 85"
1,30.36382,59.873704,"Будапештская, 3"
2,30.390563,60.024752,"Вавиловых, 14"
3,30.279864,59.972699,"Динамо пр., 3"
4,30.321195,59.921804,"Загородный просп., 47"
5,30.295701,59.849212,"Костюшко, 2"
6,30.332577,59.871432,"Кузнецовская, 25"
7,30.349456,59.93507,"Литейный просп., 56"
8,30.360164,60.036281,"Луначарского пр., 47"
9,30.32186,59.965309,"Льва Толстого, 6/8"
10,30.410892,59.986983,"Мечникова пр., 27"
11,30.468124,59.879137,"Народная, 21"
12,30.199033,60.000713,"Оптиков, 54"
13,30.431329,59.983423,"Пискаревский просп., 47"
14,29.969891,60.102212,"Сестрорецк, ул. Борисова, д. 9"
15,30.490114,59.92828,"Солидарности просп., 4"
16,30.336763,60.037252,"Учебный пер., 5"
17,30.28255,59.915765,"наб. реки Фонтанки, 154"
18,30.301594,60.015377,"Аккуратова, 2"
